Title_id,Age,IMDb,Rotten_tomatoes
1256,all,6.6,
1257,,6.7,
1258,,6.3,
1259,7+,6.3,
1260,7+,5.7,
1261,,7.1,
1262,7+,7.5,
1263,,7.3,
1264,,8.2,
1265,,7.5,
1266,7+,8.5,
1267,7+,7.1,
1268,,7.1,
1269,,7.1,
1270,7+,7.7,
1271,,6.5,
1272,,8.2,
1273,7+,5.1,
1274,,8.1,
1275,7+,7.6,
1276,,6.1,
1277,,8.6,
1278,,7.7,
1279,7+,6.1,
1280,,8.8,
1281,all,4.8,
1282,16+,7.2,
1283,7+,6.3,
1284,,7.3,
1285,all,7.6,
1286,7+,7.5,
1287,18+,4.8,
1288,,5.1,
1289,16+,7.9,
1290,,8.3,
1291,18+,6.5,
1292,,7.4,
1293,7+,7.0,
1294,all,6.2,
1295,18+,5.0,
1296,,6.2,
1297,,7.5,
1298,18+,6.9,
1299,,6.9,
1300,18+,7.1,
1301,,7.6,
1302,16+,8.4,
1303,16+,6.9,
1304,all,8.4,
1305,,6.7,
1306,,8.2,
1307,7+,6.5,
1308,16+,6.2,
1309,18+,6.8,
1310,,5.0,30%
1311,,5.7,
1312,18+,7.1,
1313,,7.2,
1314,,6.9,
1315,,7.6,
1316,,7.0,
1317,,8.2,
1318,18+,4.5,
1319,,7.4,
1320,,8.4,
1321,7+,6.7,
1322,7+,4.8,
1323,16+,6.8,
1324,7+,6.1,
1325,18+,8.1,
1326,18+,7.6,
1327,,6.9,
1328,16+,7.2,
1329,all,7.1,
1330,16+,7.9,
